id	text	A7hmedHussien
253	في زوج كل ما يتهاوش مع زوجته تلقاه راقي الدولاب ليش عشان يقول لها انتي واطيه	no
254	بربري متلطم وجالس علي طعس ليش مسوي فيها ذيب	no
255	واحد منسم وغبي سال زميله وين تشتغل قاله انا عاطل قال الاول ايه احسن من الجلسه بلا شغل يقولك فيه حوطي سال واحد وين شغال قال في البرق والبريد والهاتف قال اهب ثلاث وظايف	yes
256	فيه مطران يضحكون عند قبر واحد ليش دافنينه وماغسلوه	yes
257	عربجي توه ملتزم كتب علي ثوبه الهييه في قلوبنا	no
258	جيزاني راح يخطب بنت من اهلها قالو البنت الحين تدرس	yes
259	غبي راح للدكتور لانه مريض عطاه الدكتور دواء وقال له هذا الدواء اشربه كل ساعات فقام الغبي يشربه كل ساعات ليش عشان يفاجي الجراثيم	yes
260	في اثنين اغبياء دخلو الامتحان بعد الامتحان سال الاول الثانيكيف الامتحان معك قاله ماحليت ولا سوال قال الاول حتي انا مثلك لا يحسبونا غاشين من بعض فيه غبي حاط علي راسه قدر ليش سمع ان الامريكان بيقصفون الروس	yes
261	حرامي نذل دخل بيت ما لقي شيء يسرقه اتصل علي أمريكا وترك السماعه مرفوعه	no
262	في واحد طاق في راسه انه يصير حارس راح شراله تكميله راح لم نادي النصر قال تبون حارس قالوا لا راح لم نادي الاهلي قال تبون حارس قالوا لا وهويمشي في الطريق ولد سوري يطيح من الدورالسابع وامه تقول ابني ابني ابني وهذا اللي يبغي يصيرحارس مر ولقي الولد يطيح راح وقمز عليه ومسكه يوم قام وهو ماسكه لقي الناس متجمعين ويصفقوله قام مسك الولد وطقطقبه في الارض وشاته	no
263	في تكرونيه طبت من الدور الاخير ولا ماتت ليش طبت علي براطمها	no
264	في سوداني مادري عن عمره انه مشلول الا بعد اربع ايام	no
265	في سودانين تهاوشوا علي دور المشلول في مسلسل وجاا مطيري وحذف الدور	yes
266	فيه ثلاث نملات مرو من تحت الباب الا وحده ليش خايفه علي تسريحه شعرها	yes
267	نمله تصارخ في الحمام ليش الشامبو حرق عينها	yes
268	فيه واحد غبي جاب له ضفدع قال له نط نط الضفدع قام وقطع يده وقال له نط قام الضفدع ونط قام الرجال وقطع يده الثانيه وقال له نط قام الضفدع ونط قام الرجال وقطع رجله وقال نط ونط الضفدع قال وقطع رجاه الثانيه وقال له نط والضفدع ما رضي ينط قال الغبي استنتجنا من هذه التجربه ان الضفدع يفقد حاسه السمع عندما يفقد اطرافه الاربعه	yes
269	بخيل زوج ولده قاله تراها لك و لاخوانك	yes
270	مطيري يدور عند الشرطه ليش زوجته ماربطت الحزام	yes
271	فيه بيبسي وسفن اب طاش الببسي قال السفن طاش العبد	yes
272	فيه حواطي سقطو في اختبار تعبير ليش جاهم السوال عبر عن فتح الرياض كلهم كتبو	no
273	في ديك راح للبيض لقاه خربان راح للدجاج قال من منكم يا بنات الكلب مركبه لولب	yes
274	فيه واحد يده مقطوعه ومنقهر من الدنيا ونفسه قرر ينتحر المهم طلع علي عماره بينتحر ويلقي واحدتحت  مقطعوه يديه الثنتين ويرقص قال والله قهر انا اللي يد واحده مقطوعه وبغيت انتحر وهذا يديه الثنتين مقطوعه ويرقص المهم هون ونزل تحت يسال ارجل وشلون ترقص ويديك مقطوعه قال من قالك اني ارقص انا اقمز من القهر ابي احك ظهري	yes
275	في نمله تدور في الشارع ليش	no
276	دخل حرامي علي عجوزين سال المراه ما اسمك اجابت رقيه فقال لها الحرامي ان اسمك علي اسم امي وكرامه لها لن اصيبك بسوء ثم توجه الي الرجل وساله ما اسمك اجابه الرجل انا اسمي صالح لكنهم يدلعونني وينادونني رقيه	yes
277	واحد جزار اشتكي من الم شديد في رجله لما شافه الطبيب قال له لازم نقطعها لان اصابتها خطيره جدا وبعد تردد وافق الجزار علي العمليه بشرط وهو ان يبترها هو بنفسه وفي غرفه العمليات وبين الاطباء والممرضات سمي الرجل بالله و اخذ السكين وقال يا رب رفع رجله وقطعها صفق له الاطباء والممرضات بشده فاخذه الحماس ورفع الرجل الثانيه وقطعها	yes
278	فيه حوطي بيسوي عمليه استشهاديه دخل بين خمسين يهودي وطعن نفسه	yes
279	دخل الممرض علي الطبيب وهو يصيح لقد هرب مريض مجنون خطير جدا ساله الطبيب وكيف شكله اجاب الممرض اصلع وشعره منكوش الطبيب كيف يكون اصلع وشعره منكوش الممرض الم اقل لك بانه مجنون	yes
280	فيه صيعيدي توه راجع منالسعوديه قالوا له وش شفت هناك قال عندهم انبياء كثير قالو انبياء كثار غير الانبياء اللي نعرفهم قال ايه قالو له من هم قال لهم نبي نروح نبي نتعشا نبي نلبس نبي نتمشي نبي ناكل نبي نشتري نبي ننصب نبي سياره نبي انترنت نبي نسوي عزيمه نبي حلاو نبي جوال نبي كوره نبي اجازه نبي استراحه الخ	yes
281	سكران وصل البيت متاخر ورن الجرس فتحت له اخته وصكها كف قالها توك تجين وين كنتي طالعه فيه هااه	yes
282	يقولك واحد نذل دق علي ياسر عرفات قبل اسبوع يقول له تصدق الجو بري روعه نهايه ه ابوك يالنذاله	yes
283	واحد احول وابوه احول راح لابوه قال له يبه عطني ريال انت وعمي قال الابو انقلع لا اصطرك انت واخوك خ ياربي لك الحمد	yes
284	لاعب كره قدم اتغسل قبل ما يلعب المباراه ليشش علشان يسجل اهداف نظيفه	yes
285	في اثنين محششين مروا علي التفتيش قال السواق لخويه لاتقول شي وتفضحنا خلك ساكت يوم وصلو التفتيش قال الضابط بطاقاتكم قام السواق وحط ايده في جيبه  قال خويه والله العظيم ماتدفع ريال	yes
286	لاعب حظه اقشر سجل هدف ويوم عادوها بالحركه البطييه طلعت اوت	yes
287	مديره احلي عصاابهه عصابه عشاق بيجيتا حينما تحلم كثيراا بواقع غير واقعك وحياه غير حياتك وتحاول ان تقنع نفسك بهذه الحياه فااسمحلي ان اقول لك انك تعيش اسطوره خياليه	no
288	مزطول راح لريستورو فيه كلش تلفزيون كليماتيزور جاء الخدام قالوا ندير لك لا شان تاع ولا تاع ç قالو ديرهم لي بين زوج في كاسكروط ه	yes
289	قالك خطرا واحد زوج رجال يسكنو في الدوار الاول قال لصاحبو راني رايح للعاصمه والثاني قالو راني راح للجزاير ايا ومن بعد قالك تلاقاو في زوج في بلاصه وحده الاول قال للثاني مشي قتلي راني رايح للجزاير والثاني قال للاول ونتا مشي قتلي راني رايح للعاصمه ايا وهكدا كان فايت واحد البنادم امالا سقساوه قالولو خويا وين رانا هنا قالهم السيد راكم في ه	yes
290	وحد السيد كريم بزاف لدرجه انو كي تحرقتلو الدار جاو باش يطفوها قالهم والله ماكم امطفيينها حتي تشربو قهوه ه	yes
291	قالك كاين واحد كان يجر في فاران شافوه ناس قالولو واش هذا قالهم ياخي كاين تاكسي نتاع كات كات امالا هاذي تاكسي نتاع كات فار ه	yes
292	قالك كاين واحد بخيل راحت عندهم التريسينتي املا راح شرا شمعه وكي وصل للدار جات التريسينتي راح رجع وردها لمول الحانوت وقالو خويا هاك الشمعه نتاعك محروقه ما تشعلش ه	yes
293	قالك واحد في حياتوا ما راحش لعرس وهو انسان نيه بزاف واحد النهار عرضوه لعرس مطرطق يعني فور بزاف ايا في العرس مول كان داير الغنيه نتع هو السراق والله ما انيا و كي كان المغني يقول هو السراق مول ينقص للغنيه والغاشي يعاود موراه والله ما انيا المهم بقاو هكذاك حتي خلاصت الغنيه السيد كي رجع للبلاد سقساوه صحابوا وش العرس مليح عجبك قالهم فور بزاف عجبني بصح مول ما نعرف وش سرقولوا بايت يحلف فينا ه	yes
294	قالك واحد مسمار الدورو يموت عليه وحد النهار شري حبه بنان ما فيهاش التيكي قال للخضار اعطيني التيكي ندفعوا للكازورال ه	yes
295	واحد حابس كان يمشي مع وحده شافت باباها من بعيد قاتلو روح بابا راهو جاي قاللها كشماكان انا خوك ه	yes
296	قلك واحد حابس عمرو لا هدر مع فتاه ايا راح لصاحبو وسقساه كيفاه فقالو صاحبو لازم تكون تعرف تصيد ايا راح يحوس علي الفتاه التي تعجبه عندما وجدها رفد حجره بلوكه وقايسها فاذا بالفتاه تسقط ارضا فهلع اليها جميع الناس فتفاجوا بالرجل الذي ضربها يقول لهم بعدوا انا لي صيتها اللول ه	yes
297	قلك واحد النهار زوج خاوه واحد يسموه فريطيط ولاخر يسموه بريطيط قلك فريطيط دخل للحبس كي خرج كان محفف بولا زيرو كي شافو بريطيط سقساه باه حففت فقالو خوه بالماشينه ايا راح بريطيط للرايا تاع القطار و حط راسو ولما جاء القطار كلاكسونا عليه فقلو بريطيط ما تقولي ني طيط ني بيط حففلي كيما خويا فريطيط ه	yes
298	قلك وحد المره اجتمع عباقره العالم و اخترعوا حاسوب يمكنه الاجابه علي اي سوال اتوا اغبياء كي يجربوه وبدا الاول يسال في الحاسوب فيجيبه الحاسوب بسرعه ثم جاء الثاني لكن الحاسوب اذكي منه الي ان جاء الثالث و هو اغبي الاغبياء فكتب شييا فاذا بالحاسوب يحترق ولما سالوه قلهم كتبت للحاسوب ان هناك حقلا طوله م وعرضه م ما هو عمر الفلاح ه	yes
299	قلك واحد حابس راح يدير السكنار علي راسو فكتبلو السكنار ه	yes
300	قلك واحد مشي شباب راح يشوف روحو في المرايا فقالتو المرايا نعتذر عن الصوره ه	yes
301	قلك واحد حابس كان يمشي حتي صاب ورقه تاع تريسنتي فراح خلصها ه	yes
302	قلك واحد حابس جاء يذبح جاجه تاع تريسينتي راح طفي الكونتور ه	yes
303	قلك واحد حابس خلاصتلو القرعه تاع الغاز ايا عضها ه	yes
304	قلك وحد المره الزوجه قالت لزوجها اليوم عيد ميلادي وراني باغيه جيبلي كادو كي نشوفو يشعل قلبي ذهب الزوج للعمل وفي المساء عطالها علبه ففرحه الزوجه وعندما فتحتها وجدت باتري تاع طونوبيل ه	yes
305	قلك وحد المره واحد حابس راح لفرانسا و بقي يدور حتي فات علي وحد الزنقه و صاب فيها عرس سقسا تاعمن هذا العرس قالو واحد ايا راح وفي الغد جاز علي زنقه اخري وصاب فيها موت وسقسا تاعمن هذا الموت فقالو واحد عندها قال مسكين البارح تزوج واليوم مات ه	yes
306	قالك وحد الزوج مزوجين ولدو طفله عندها شعره واحده في راسها سماوها محيرقه ه	yes
307	قالك واحد ماجاهش النعاس رقد و خلاه ه	yes
308	قالك واحد ما رقدش بكري و كي رقد صاب الحلم بدا ه	yes
309	قالك خطره واحد بلع نص حبه كاشي نتاع الرقاد رقد بعين وحده ه	yes
310	واحد حابس اشتري بورتابل و حب يدخل الكارطه ماحبتش تدخل ايا دخل البارمي ه	yes
311	قلك واحد راح للسينيما و رافد معاه سلوم كي سقساوه علاه قالهم الفيلم طويل ه	yes
312	واحد الزوج كانو شاربين راهم يمشو فالليل شافو القمر ناضو يدابزو واحد يقول قمر و لوخر يقول شمس سقساو واحد كان يمشي فالطريق قالولو واش هذا قمر ولا شمس قاللهم والله غير اسمحولي انا ماشي منا ه	yes
313	واحد الغاشي ما يفهموا والو يعني حابسين مثلا الكاوكاو اللي بالقشور يكتبولهم عليه عباره اضغط هنا التقاشر مكتوب عليهم يمين يسار البنان مكتوب عليه يوكل من الداخل الياوورت مكتوب فيه من الاسفل انتهي العلبه نتاع التونه مكتوب عليها لا تخف انه ميت معجون الاسنان مكتب فيه بزق تسيل ه	yes
314	قالك واحد السيد تصور بين حمير حشاكم وبعثها لصاحبته وكتب تحتها ملاحظه راني فالوسط ه	yes
315	واحد الطلاب كان يهدر مع وحده سمينه قالها اعطني الدراهم باش نشري الخبز راني يومين ما كليتش قاتلو راني حاسداتك علي لاطاي نتاعك يرحم ابوك قولي شكون الطبيب اللي عطاك هدا الريجيم ه	yes
316	مره واحد كان قدام البحر هو و حبيبته ايا قاتلو فاش يفكرك غروب الشمس قالها برجوع قرانديزر الي القاعده ه	yes
317	واحد فنيان يخدم في حانوت تاع الدجاج يبيع الدجاج حي جات عندو وحده و قالتلو شوفلي دجاجه فيها كيلو ايا شاف مليح فالدجاج وقال اللي فيها كيلو تنوض ه	yes
318	واحد قال ليماه بغيت نتزوج بوحده بيضه وطويله وخدامه قالتلو شوف كاش فريجيدار ه	yes
319	سال احدهم الاخر اتذهب الي امريكا ام تبقي فاجابه ساذهب الي تبقي يظن انها دوله ه	no
320	في احد الايام ذهب رجل بخيل مع زوجته لاحدي المحلات فوجدت زوجه البخيل توبا رايعا قايلتا لزوجها يا له من ثوب انيق فاجابها الزوج البخيل قايلا اذا سوف احضرك الي هذا المحل يوميا لكي تري الثوب ه	yes
321	قالك واحد الجزار راح يخطب قالولو موالين الطفله لازم تدفع ملاين فالعروس قاللهم علاش شحال للكيلو ه	yes
322	قالك كاين واحد بخيل راحت عندهم التريسينتي املا راح شرا شمعه وكي وصل للدار جات التريسينتي راح رجع وردها لمول الحانوت وقالو خويا هاك الشمعه نتاعك محروقه ما تشعلش هدي تشبز ه	yes
323	قالك خطرا واحد زوج رجال يسكنو في الدوار الاول قال لصاحبو راني رايح للعاصمه والثاني قالو راني راح للجزاير ايا ومن بعد قالك تلاقاو في زوج في بلاصه وحده الاول قال للثاني مشي قتلي راني رايح للجزاير والثاني قال للاول ونتا مشي قتلي راني رايح للعاصمه ايا وهكدا كان فايت واحد البنادم امالا سقساوه قالولو خويا وين رانا هنا قالهم السيد راكم في ه é	yes
324	قالك واحد في حياتوا ما راحش لعرس وهو انسان نيه بزاف واحد النهار عرضوه لعرس مطرطق يعني فور بزاف ايا في العرس مول كان داير الغنيه نتع هو السراق والله ما انيا و كي كان المغني يقول هو السراق مول ينقص للغنيه والغاشي يعاود موراه والله ما انيا المهم بقاو هكذاك حتي خلاصت الغنيهالسيد كي رجع للبلاد سقساوه صحابوا وش العرس مليح عجبك قالهم فور بزاف عجبني بصح مول ما نعرف وش سرقولوا بايت يحلف فينا	yes
325	قالك واحد مسمار الدورو يموت عليه وحد النهار شري حبه بنان ما فيهاش التيكي قال للخضار اعطيني التيكي ندفعوا للكازورال	yes
326	قلك واحد النهار زوج خاوه واحد يسموه فريطيط ولاخر يسموه بريطيط قلك فريطيط دخل للحبس كي خرج كان محفف بولا زيرو كي شافو بريطيط سقساه باه حففت فقالو خوه بالماشينه ايا راح بريطيط للرايا تاع القطار و حط راسو ولما جاء القطار كلاكسونا عليه فقلو بريطيط ما تقولي ني طيط ني بيط حففلي كيما خويا فريطيط	yes
327	قلك وحد المره اجتمع عباقره العالم و اخترعوا حاسوب يمكنه الاجابه علي اي سوال اتوا اغبياء كي يجربوه وبدا الاول يسال في الحاسوب فيجيبه الحاسوب بسرعه ثم جاء الثاني لكن الحاسوب اذكي منه الي ان جاء الثالث و هو اغبي الاغبياء فكتب شييا فاذا بالحاسوب يحترق ولما سالوه قلهم كتبت للحاسوب ان هناك حقلا طوله م وعرضه م ما هو عمر الفلاح	yes
328	قلك واحد حابس راح يدير السكنار علي راسو فكتبلو السكنار	yes
329	قلك واحد مشي شباب راح يشوف روحو في المرايا فقالتو المرايا نعتذر عن الصوره	yes
330	قلك واحد حابس كان يمشي حتي صاب ورقه تاع تريسنتي فراح خلصها	yes
331	قلك واحد حابس جاء يذبح جاجه تاع تريسينتي راح طفي الكونتور	yes
332	قلك واحد حابس خلاصتلو القرعه تاع الغاز ايا عضها	yes
333	قلك وحد المره الزوجه قالت لزوجها اليوم عيد ميلادي وراني باغيه جيبلي كادو كي نشوفو يشعل قلبي ذهب الزوج للعمل وفي المساء عطالها علبه ففرحه الزوجه وعندما فتحتها وجدت باتري تاع طونوبيل	yes
334	قلك وحد المره واحد حابس راح لفرانسا و بقي يدور حتي فات علي وحد الزنقه و صاب فيها عرس سقسا تاعمن هذا العرس قالو واحد ايا راح وفي الغد جاز علي زنقه اخري وصاب فيها موت وسقسا تاعمن هذا الموت فقالو واحد عندها قال مسكين البارح تزوج واليوم مات	yes
335	قالك وحد الزوج مزوجين ولدو طفله عندها شعره واحده في راسها سماوها محيرقه	yes
336	قالك واحد ماجاهش النعاس رقد و خلاه	yes
337	قالك واحد ما رقدش بكري و كي رقد صاب الحلم بدا	yes
338	قالك خطره واحد بلع نص حبه كاشي نتاع الرقاد رقد بعين وحده	yes
339	واحد حابس اشتري بورتابل و حب يدخل الكارطه ماحبتش تدخل ايا دخل البارمي	yes
340	قلك واحد راح للسينيما و رافد معاه سلوم كي سقساوه علاه قالهم الفيلم طويل	yes
341	قلك واحد حابس اشتري تلفاز جديد كي شعلو في الدار صاب تلعب مقابله في كره القدم فراح جاب بيدون تاع ماء وفرغو عليه وقال للتلفاز ايا كل واحد يروح يلعب قدام دارهم	yes
342	واحد حب يشري سروال لوبيا مالقاش شري سروال عدس	yes
343	قالك زوج جيران واحد غني و الاخر فقير الفقير عندوا المصباح السحري كل صباح يمسحوا يخرج العفريت يقولوا شبيك لبيك اطلب كل شيي بين يديك الفقير يقولوا اعطيني كاس لاتاي شافوا الغني و حسدوا علي المصباح السحري و بغي يديلوا المصباح قالوا نعطيلك الفيلا و السياره واعطيني المصباح الفقير قبل بالمقايضه مسح الغني المصباح وخرجلوا العفريت قالوا شبيك لبيك كل شيي بين يديك قالوا بغيت فيلا علي شاطي البحر قالوا العفريت اسمحلي خويا نسربي غير لاتاي	yes
344	وحده سمينه بزاف راحت عند الطبيب باش يعطيلها الدوا باش تشيان مدلها باطه كاشيات وقاللها كل نهار تاكل حبات هي نسات وكلاتهم قاع مره وحده ولعشيا جا راجلها للدار وحوس عليها ومالقاهاش قاللها عيشه وين راكي قاتلو راني مور البالي	yes
345	قالك واحد حابس راح للفارماسيان باش يشري الدواء الفارماسيان اعطالو كاشيات و قالو حبات مور القهوه السيد راح ثم رجع وقال للفارماسيان خويا معليش نشربهم مور الريستورو	yes
346	واحد شري صباط كبير عليه ولا يقادرو	no
347	قالك سرات اكسدنت بين مرسيداس اخر عيطه بداو يداوسو صحاب الكرارس في ما بيناتهم حبس واحد مولا رايبه واش قاللهم ماتتقلقوش تقدرت و حنا قاع عندنا الماتريال و نخافو عليه	yes
348	واحد قال لخطيبته كي نكلاكسوني هبطي قالتلو علاه اشريت طوموبيل قالها لا شريت زماره	yes
349	خطره واحد كان يسرح بالنعاج وحاط رجل فوق رجل ويتكيف في قارو ايا طاحت طياره قريب ليه كي جات الصحافه تسالو كيفاش الحادثه المسكين من الخلعه بزاف قالهم كنت نسرح بالطياره و حاط قارو فوق قارو ونتكيف في رجلي لقيت النعاج طاحو	yes
350	قالك واحد مهبول دايمن حاكم الحيط و حاط وذنو عليه ويسمع كي شافو الطبيب قالو واش راك تسمع قالو المهبول اسمع بوذنك كي حط الطبيب وذنو علي الحيط قالو ماراني نسمع والو ايا قالو المهبول هادي اللي راها مهبلتني	yes
351	سال استاذ تلميذه ما اسم الحيوان الذي تصحو علي صوته كل صباح اجاب بابا	yes
352	استاذ سال تلميذه ما الفرق بين الفيل والبرغوت راح قال له الفيل ممكن ان يكون لديه برغوت لكن البرغوت مش ممكن يكون لديه فيل	yes
353	مره مدرس قال للتلاميذ اللي موش فاهم يقوم يقف فواحد بس اللي وقف بعدين قاله المدرس انتا موش فاهم قاله لا بس عيب اخليك واقف لوحدك	yes
354	المعلم للطلبه الام دايما ما تكون حنونه علي اطفالها فهي تغني لهم حتي يناموا فهي تولف لهم الاغاني وتغنيها لهم فمثلا الطالب احمد احمد نعم يا استاذ المعلم هل تذكر اغنيه تغنيها لك والدتك حتي تنام احمد نعم يا استاذ المعلم هل تسمعني هذه الاغنيه احمد نام يا حمار نام نامت عليك طوفه	yes
355	ابو مره شاب تتشاجر مع ابوه و نزل الشاب تحت الباطيمه و قعد يعيط بويا اعطيني حوايجي ما نزيدش نقعد في الدار ارسله لوه قرعه جال قاله هدا ما عندك الشيطان	no
356	قالك واحد حياتوا كامل وهو ياكل في اللوبيا وكي يجي ياكل ما يقولش بسم الله الشيطان ياكل معاه واحد النهار جاء راح يبدا الماكله خرجلوا الشيطان وقالوا يا صاحبي نتا قع ما تقولش بسم الله	yes
357	قالك زوج تزوجوا جابوا طفل ما عندوش يدين سماوه الاسنسير	yes
358	مره واحد هو وابنه ميعرفوش هو ايه الاسنسير بس شايفين الحيطه عماله تتفتح وتتقفل وهما مش فاهمين حاجه المهم جت واحده عجوزه ظغطت علي الزر اللي في الحيطه ودخلت الاسنسير وبعد شويه الاسنسير نزل وطلعت منه شابه جميله فالراجل قال لابنه روح هات امك	yes
359	ثلاثه بخلاء في احد الايام سام ثلاثه بخلاء من الناس التي تظل تتكلم عن بخلهم فقالو سننفق بعض المال من اجل نزع هذا الكلام فقال الاول سارسم خطا وارمي المال ما ذهب الي يمين لي ومن ذهب الي يسار لهم فقال ثاني سارسم دايره وارمي المال ما دخل الي دايره لي وما لم يدخل لهم فقال ثالث انا سارمي المال في السماء مابقي في السماء لهم وما سقط في الارض لي	yes
360	قالك واحد راح عند البوشي قالو اعطيني زوج كيلو لحم بقري كي عطالو الراجل سقساه قالو عندك الكرعين قالو البوشي ايه قالو امالا اللحق هربلو باللحم	no
361	قالك حمار وحشي كان يمشي مع صاحبتو قالك دخلها لدارو امبعد صحبتو شافت تصويرتو قاتلو شكون هدا قالها ايه هدا انا نهار كنت نلعب فسطيف الحمير تعرف بعضه	yes
362	كان جحا راكبا حماره حينما مر ببعض القوم واراد احدهم ان يمزح معه فقال له ياجحا لقد عرفت حمارك ولم اعرفك قال جحا هذا طبيعي لان الحمير تعرف بعضها	yes
363	واحد راح لطبيب باش ينحيلو مسمار دخلو في رجلو كي قالو دينار جاوبو وقال عوجو وخليه	yes
364	قالك واحد العجوزه راحت للطبيب قاتلوا يا وليدي راه عندي الما في ركبتي والغاز في معدتي قاللها دخلي التريسيتي واسكني لمطعم	no
365	قالك زوج دخلوا للمطعم واحد غني و الخر فقير الغني طلب اكله باللحم والفقير طلب صحن من الفول ايا الفقير بدا ياكل بسرعه شاف فيه الغني و قالوا قول بسم الله باش ما يكلش معاك الشيطان دار عندوا الفقير وقالوا واش بيك الشيطان يخلي اللحم و يجي ياكل الفول	yes
366	واحد كان يشاتي في الانترنيت مع فتاه قالها كيفاه اسمك كتبتلو فاطمه و حطت قدامها ورده يعني فاطمه الزهراء هو واش كتبلها اسمه بو جمعه	yes
367	مره استاد قال للتلميد اعطيلي حيوانات زاحفه قالو حنش حلزون خويا الصغير	yes
368	قالك واحد زاد عندو ولد فيه شعره واحده في راسه سماه محيرقه	no
369	وحده سمينه بزاف راحت عند الطبيب باش يعطيلها الدوا باش تشيان مدلها باطه كاشيات وقاللها كل نهار تاكل حبات هي نسات وكلاتهم قاع مره وحده ولعشيا جا راجلها للدار وحوس عليها ومالقاهاش قاللها عيشه وين راكي قاتلو راني مر البالي المكنسه	no
370	وحد المعلم سقسا وحد التلميذ قالو اعطيني شيء يتمدد بالحراره ويتقلص بالبروده التلميذ قالو العطله يا استاذ في الشتاء يوم وفي الصيف اشهر	yes
371	معلم سال طالب السروال مفرد و لا مثني يا طفل رد الطالب مفرد من فوق و مثني من تحت	yes
372	مشحاح طاحت دراهمه من التاقه كي نزل ما لقاهاش ليش لانه وصل قبلها	yes
373	مره كان هناك واحد عربي التقي بواحد ياباني فعرض علي العربي بتناول العشاء فقرر ان يهاتف زوجته ليعلمها فاعطاه الياباني يده و قال كلم هنا فقط في الهاتف النفال اي يديه كهاتف لدرجه تطور اليابانيين و بعدها ذهبو الي المنزل وفي الطريق راو عده متسولين يرفعون ايديهم للتسول فسال اليابني ماهذا فقال العربي هذا هاتف عمومي	yes
374	احد دخل للقهوه وقال للقهواجي عندك قهوه بارده يقولو لا زاد جاه غدوه وقالو كيما المره اللوله ورد عليه لا وعاد كل يوم يقولو عندك قهوه بارده واحدالنهار قال القهواجي والله نوجدلو قهوه بارده قبل ما يجي ومبعد ساعه جا الزبون وقال عندك قهوه بارده قالو نعم قال سخنها وجيبهالي	yes
375	قالك واحد المراه راجلها واعر معاها بزاف قالتلو لو كان غير تزوجت مع شيطان وما تزوجتش معاك قالها حرام المراه تتزوج مع خوها	yes
376	قالك واحد كان زاطل سقساوه خو كي تحب تصيد ارنب كاش تدير قالهم نتخبي مور الشجره وندير صوت الزروديه ليجان	no
377	قالك كانو واحد الزوج يمشو واحد دار والدوزيام باطيمه	no
378	واحد ركب ليموزين وقال للسواق نادي الشباب لو سمحت رد عليه السواق وانت ليش ما تناديهم فوق راسك ريشه	yes
379	في واحد محشش جالس امام المكيف يقوله لا تنفخ لا اكسر راسك	yes
380	سكران دخل علي صيدليه فقال للصيدلي اعطيني سندوش فلافل فقال الصيدلي بعصبيه هادي صيدليه مش مطعم فدخل سكران تاني وسال ايش القصه فقال له الصيدلي القصه السكران التاني سيبك منه اعطيني سندوش شورمه	yes
381	واحد مسطول قال لصاحبه ارسم علي ظهري مربعات فرسم صاحبه فقال له رقم هادي المربعات فرقمها فقال له حك لي في المربع اتنين	yes
382	مساطيل واحد بيسال التاني الشارع هادا بيروح فين التاني الشارع ده ثابت محله عمره ما راح شمال ولا يمين	yes
383	مره اتنين مساطيل واحد بيقول للتاني شايف الشمس ما احلاها الثاني هادي مش شمس هادي قمر المهم بدهم يتخانقوا فشافوا واحد وسالوه فقال الهم عفوا انا مش من هالبلد	yes
384	يقولك في سكرانيين طلعوا للبر المهم ويوم وصلوا وينصبوا لك ذيك الخيمه وخلوا لها بابين والله وهم جالسين كان يبون ولاعه ماحصلوو والله ويرسلوا واحد منهم كان يقوم السكران المرسول ويطلع من باب الخيمه الاول ويدخل من الثاني ويقول لاخوياه السكاري سلام شباب بالله ممكن ولاعه كان يقولوله والله سوري ياابو الشباب تونا ارسلنا خوينا نبي ولاعه	yes
385	غبي عرف ان الشيطان شاطر راح يدرس معه	yes
386	محشش بنشرت سيارته جاه واحد يبي يساعده قاله معك استبنه قال والله والنعم	yes
387	واحد ملقوف شاف حادث قال وخرو وخروالمصدوم يقرب لي طلع المصدوم حمار	yes
388	الله يعزكم بدوي راح لمطعم قال للجرسون واحد شاورما بس تكفي لا تكثر القراطيس لا نها تعور بطني	yes
389	محشش اسالوه وش اصعب شي قال انك تحدد السكسوكه وانت تاكل علك	yes
390	حواطي بيسون شهر تسوق سموه هلا ذي القعده	yes
391	فيه بدوي شراء لولده كمبيوتر حط بدال الفاره ضب	yes
392	كان فيه ولد كل يوم يروح عند محل الكيك ويقول للطباخ عندكم كيكه طماطم ويقوله الطباخ لا في الاخير طفش منه الطباخ وقال خليني اعمله كيكه طماطم وارتاح منه ولمن جاء الولد وساله نفس السوال قال له الطباخ نعم عندنا كيكه طماطم رد عليه الولد وقال يع الله يقرفك كيف لكم نفس تاكلونها	yes
393	قال احد الاطفال لعمته التي تزورهم يا قبيحه فصرخت والدته واجبرته ان يعتذر لها فقال لها الطفل انا اسف لاني قلتلك انك قبيحه	no
394	ذهب احد الاطفال الي امه وقال لها ماما اعطيني نقودا حتي اعطيها لرجل مسكين يصيح في الشارع فرحت الام لقلب طفلها الطيب واعطته النقود ثم سالته ولماذا يصيح هذا الرجل يا ولدي قال الطفل انه يصيح ايس كريم ايس كريم	yes
395	كان مجموعه من الاطفال يلعبون امام احد البيوت فاذا برجل عجوز يمر من امامهم فقال له احد الاطفال اذا سمحت يا جدو دق لي جرس الباب فانا لا استطيع الوصول اليه فدق العجوز الباب فاذا بالطفل يقول للعجوز وهو يهرب بسرعه يا جدو اهرب قبل ان يخرج صاحب المنزل ويضربك	yes
396	انجبت الام طفلا صغيرا فنظر الاخ الاكبر الي فم اخيه المولود ثم قال لامه ما ما لقد ضحكوا عليك واعطوك طفلا دون اسنان	yes
397	كان فيه ولد ثرثار قال له ابوه اذا سكت لمده نصف ساعه ساعطيك جايزه فسكت الولد حتي الدقيقه عندما جاته اخته وقالت له وش فيك يا اخوي وراك صرت اخرس قام رد عليها وقال لاه ولكن اصبري حتي اخذ الجايزه وبعدين اوريك منهو الاخرس	yes
